"Weekly Featured", "每周特色"
"Recently Bought", "最近购买的产品" 
"New Products", "新产品"
"Add to Cart"，"添加到购物车"
"Wishlist","愿望栏"
"Compare","对比"
"Categories","目录"
"Home","主页"
"Featured Custom","特色定制"
"Our Brands","我们的品牌"
"Custom Menu","定制"
"shopping cart","购物车"
"items","商品"
"item","商品"
"BestSeller Products","最畅销产品"
"Featured Products","特色产品"
"All deals product","所有促销产品"
"Daily Deals","每日促销商品"
"+ Wishlist","+ 愿望栏"
"+ Compare","+ 对比"
"+ Email","+ 发信"
"Language:","语言"
"Sort by:","排序:"
"Go to shopping cart","购物车"
"Item was successfully added to your cart","成功添加产品到购物车"
